OLD_ID	NEW_ID
H6-13206_S1	82084
H6-13466_S1	82031
H6-13467_S2	82000
H6-01510_S3	82006
H6-13182_S3	81972
H6-13234_S3	81979
H6-13235_S4	82077
H6-01356_S5	81971
H6-13314_S5	82034
H6-13211_S6	81955
H6-13497_S6	82130
H6-13186_S7	81950
H6-13212_S7	81937
H6-13472_S7	82072
H6-13188_S9	82085
H6-13474_S9	81995
H6-01387_S10	82019
H6-01543_S10	81975
H6-01544_S11	81988
H6-13502_S11	81946
H6-01493_S12	82001
H6-13243_S12	81960
H6-13373_S12	81942
H6-01312_S13	81989
H6-13192_S13	81956
H6-13270_S13	81976
H6-13478_S13	81999
H6-13194_S15	82064
H6-13247_S16	81970
H6-01368_S17	81933
H6-13223_S18	82067
H6-01318_S19	81993
H6-01423_S20	82043
H6-98455_S21	82053
H6-01217_S22	82076
H6-13227_S22	82058
H6-01270_S23	81957
H6-01426_S23	82044
H6-01530_S23	81986
H6-13202_S23	82022
H6-01505_S24	81994
H6-13203_S24	81978
H6-13229_S24	82065
H6-13489_S24	82055
H6-01532_S25	81996
H6-13204_S25	82062
H6-13230_S25	82046
H6-13256_S25	81998
H6-13490_S25	81926-FASTQ
H6-13205_S26	82083
